"Story","Title","Result","Date","Stability","Duration (s)"
"Seleccion de fecha en un campo de formulario","Seleccionar una fecha dentro del rango permitido","SUCCESS","2025-11-07T12:22:38.8053578-05:00[America/Bogota]","0.0","11.42"
"Seleccion de fecha en un campo de formulario","Navegar entre meses y años en el calendario","SUCCESS","2025-11-07T12:22:50.5847838-05:00[America/Bogota]","0.0","10.99"
