"Story","Title","Result","Date","Stability","Duration (s)"
"Seleccion de fecha en un campo de formulario","Impedir seleccion de fechas fuera del rango permitido","ERROR","2025-11-07T16:38:55.3737353-05:00[America/Bogota]","0.0","1.02"
"Seleccion de fecha en un campo de formulario","Seleccionar una fecha dentro del rango permitido","SUCCESS","2025-11-10T08:16:30.8453802-05:00[America/Bogota]","0.0","9.9"
