"Story","Title","Result","Date","Stability","Duration (s)"
"Seleccion de fecha en un campo de formulario","Seleccionar una fecha dentro del rango permitido","PENDING","2025-11-06T21:57:17.4648787-05:00[America/Bogota]","0.0","0.46"
"Seleccion de fecha en un campo de formulario","Seleccionar una fecha dentro del rango permitido","SUCCESS","2025-11-10T08:16:30.8453802-05:00[America/Bogota]","0.0","9.9"
