"Story","Title","Result","Date","Stability","Duration (s)"
"Seleccion de fecha en un campo de formulario","Mostrar calendario emergente al hacer clic en el campo de fecha","PENDING","2025-11-06T11:37:51.7417686-05:00[America/Bogota]","0.0","0.26"
"Seleccion de fecha en un campo de formulario","Seleccionar una fecha dentro del rango permitido","PENDING","2025-11-06T21:57:17.4648787-05:00[America/Bogota]","0.0","0.46"
