"Story","Title","Result","Date","Stability","Duration (s)"
"Seleccion de fecha en un campo de formulario","Navegar entre meses y años en el calendario","SUCCESS","2025-11-10T08:16:41.2526323-05:00[America/Bogota]","0.0","10.57"
"Seleccion de fecha en un campo de formulario","Impedir seleccion de fechas fuera del rango permitido","SUCCESS","2025-11-10T08:16:53.7409703-05:00[America/Bogota]","0.0","11.75"
